feature_id,canonical_name,user_intent,audience_tier,current_location,current_secondary_locations,proposed_location,classification,support_state,reliability_evidence,known_limitations,destructive_or_lossy,requires_capability_preflight,canonical_action_id,action,rationale
G001,Open PDF,Open a PDF for work,1,Home,Quick Tools file pickers,Home primary action,A,available,Core import path and release gates,Encrypted files require password,no,yes,open-pdf,KEEP,Primary entry point
G002,Restore PDF Studio project,Restore a local project backup,2,Home,,Home secondary action,B,available,v1-v9 migration and integrity gates,Only PDF Studio project packages,no,yes,restore-project,KEEP,Useful recovery capability
G003,Open sample PDF,Try the product without a file,1,Home,,Home secondary or Help,C,available,Generated fixture path,Demonstration only,no,no,open-sample,DEMOTE,Useful onboarding but not primary
G004,Recent projects,Resume recent local work,1,Home,Documents,Home,A,available,Project repository,Browser-local only,no,no,recent-projects,KEEP,High-frequency resume workflow
G005,Manage local projects,Search and open local projects,1,Documents,Home recent projects,Documents,A,available,Project repository,Browser-local only,no,no,manage-projects,KEEP,Core local workspace
G006,Rename project,Rename a local project,2,Documents,,Documents context action,B,available,Repository operation,Uses prompt UI today,no,no,rename-project,KEEP,Useful project management
G007,Delete project,Delete local project data,2,Documents,,Documents context action,B,available-with-warning,Deletion and workspace cleanup,Destructive local-data action,yes,yes,delete-project,KEEP,Valid action with confirmation
G008,Back up project,Export .lpsproject backup,1,Documents,,Documents context action,A,available,v9 integrity package,Backups require user-managed storage,no,no,backup-project,KEEP,Important for browser-local storage
G009,Download history,Review prior output receipts,3,Advanced & support,,Settings or About support,C,available,Receipt repository,Only recorded when enabled and not actual file storage,no,no,download-history,DEMOTE,Niche traceability feature
G010,Local storage dashboard,Inspect quota persistence and project health,3,Advanced & support,Maintenance,Troubleshooting & recovery,F,available,Storage health APIs,Browser estimates are advisory,no,no,storage-dashboard,MERGE,Overlaps Maintenance and is technical support
G011,Troubleshooting & recovery,Safe mode cache support and project health,2,Advanced & support,Help,Help > Troubleshooting,B,available,Recovery and health regression gates,Advanced recovery concepts,potentially,yes,maintenance,KEEP,Useful when something goes wrong
G012,Engineering diagnostics labs,Inspect engine deployment coordinate and storage labs,3,Advanced & support,,About > Technical support,F,available,Diagnostic prototypes,Engineering-only and not a user workflow,no,no,engineering-diagnostics,HIDE,Should not occupy normal navigation
G013,App self-check,Run production runtime validation,3,Advanced & support,About,About > Technical support,F,available,Release validation suite,Proves runtime foundation not product usability,no,no,app-self-check,HIDE,Release and support tool not normal PDF work
